region,district,ward
"morogoro","Gairo","Chagongwe"
"morogoro","Gairo","Chakwale"
"morogoro","Gairo","Chanjale"
"morogoro","Gairo","Chigela"
"morogoro","Gairo","Gairo"
"morogoro","Gairo","Idibo"
"morogoro","Gairo","Italagwe"
"morogoro","Gairo","Iyogwe"
"morogoro","Gairo","Kibedya"
"morogoro","Gairo","Leshata"
"morogoro","Gairo","Madege"
"morogoro","Gairo","Magoweko"
"morogoro","Gairo","Mandege"
"morogoro","Gairo","Mkalama"
"morogoro","Gairo","Msingisi"
"morogoro","Gairo","Nongwe"
"morogoro","Gairo","Rubeho"
"morogoro","Gairo","Ukwamani"
"morogoro","Kilombero","Ching'anda"
"morogoro","Kilombero","Chisano"
"morogoro","Kilombero","Chita"
"morogoro","Kilombero","Idete"
"morogoro","Kilombero","Ifakara"
"morogoro","Kilombero","Igima"
"morogoro","Kilombero","Kalengakelo"
"morogoro","Kilombero","Kamwene"
"morogoro","Kilombero","Katindiuka"
"morogoro","Kilombero","Kibaoni"
"morogoro","Kilombero","Kiberege"
"morogoro","Kilombero","Kidatu"
"morogoro","Kilombero","Kisawasawa"
"morogoro","Kilombero","Lipangalala"
"morogoro","Kilombero","Lumemo"
"morogoro","Kilombero","Mang'ula"
"morogoro","Kilombero","Mang'ula B"
"morogoro","Kilombero","Masagati"
"morogoro","Kilombero","Mbasa"
"morogoro","Kilombero","Mbingu"
"morogoro","Kilombero","Mchombe"
"morogoro","Kilombero","Michenga"
"morogoro","Kilombero","Mkula"
"morogoro","Kilombero","Mlabani"
"morogoro","Kilombero","Mlimba"
"morogoro","Kilombero","Mngeta"
"morogoro","Kilombero","Mofu"
"morogoro","Kilombero","Msolwa Station"
"morogoro","Kilombero","Mwaya"
"morogoro","Kilombero","Namwawala"
"morogoro","Kilombero","Sanje"
"morogoro","Kilombero","Signal"
"morogoro","Kilombero","Uchindile"
"morogoro","Kilombero","Utengule"
"morogoro","Kilombero","Viwanjasitini"
"morogoro","Kilosa","Berega"
"morogoro","Kilosa","Chanzuru"
"morogoro","Kilosa","Dumila"
"morogoro","Kilosa","Kasiki"
"morogoro","Kilosa","Kidete"
"morogoro","Kilosa","Kidodi"
"morogoro","Kilosa","Kilangali"
"morogoro","Kilosa","Kimamba A"
"morogoro","Kilosa","Kimamba B"
"morogoro","Kilosa","Kisanga"
"morogoro","Kilosa","Kitete"
"morogoro","Kilosa","Lumbiji"
"morogoro","Kilosa","Lumuma"
"morogoro","Kilosa","Mabula"
"morogoro","Kilosa","Mabwerebwere"
"morogoro","Kilosa","Madoto"
"morogoro","Kilosa","Magole"
"morogoro","Kilosa","Magomeni"
"morogoro","Kilosa","Magubike"
"morogoro","Kilosa","Maguha"
"morogoro","Kilosa","Malolo"
"morogoro","Kilosa","Mamboya"
"morogoro","Kilosa","Masanze"
"morogoro","Kilosa","Mbigiri"
"morogoro","Kilosa","Mbumi"
"morogoro","Kilosa","Mhenda"
"morogoro","Kilosa","Mikumi"
"morogoro","Kilosa","Mkwatani"
"morogoro","Kilosa","Msowero"
"morogoro","Kilosa","Mtumbatu"
"morogoro","Kilosa","Mvumi"
"morogoro","Kilosa","Parakuyo"
"morogoro","Kilosa","Ruaha"
"morogoro","Kilosa","Rudewa"
"morogoro","Kilosa","Ruhembe"
"morogoro","Kilosa","Tindiga"
"morogoro","Kilosa","Ulaya"
"morogoro","Kilosa","Uleling'ombe"
"morogoro","Kilosa","Vidunda"
"morogoro","Kilosa","Zombo"
"morogoro","Malinyi","Biro"
"morogoro","Malinyi","Igawa"
"morogoro","Malinyi","Itete"
"morogoro","Malinyi","Kilosampepo"
"morogoro","Malinyi","Malinyi"
"morogoro","Malinyi","Mtimbira"
"morogoro","Malinyi","Ngoheranga"
"morogoro","Malinyi","Njiwa"
"morogoro","Malinyi","Sofi"
"morogoro","Malinyi","Usangule"
"morogoro","Morogoro","Bungu"
"morogoro","Morogoro","Bwakira Chini"
"morogoro","Morogoro","Bwakira Juu"
"morogoro","Morogoro","Gwata"
"morogoro","Morogoro","Kasanga"
